Symbol,CXSMILES,Monomer_Type,R1,R2,R3
X865,COc1ccc(CCN([*])CC([*])=O)cc1 |$;;;;;;;;;_R1;;;_R2;;;$|,Backbone,H,OH,-
X862,OC(=O)CC[C@H](NCCc1ccc2ccc3cccc4ccc1c2c34)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X935,CCCNC(=N)NCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X726,NCCCN([*])CC([*])=O |$;;;;;_R1;;;_R2;$|,Backbone,H,OH,-
X1915,CC(C)(C)[Si](C)(C)OCC(=C)COC[C@@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1697,COC(=O)CCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1770,"[*]N1N=CC=C[C@H]1C([*])=O |$_R1;;;;;;;;_R2;$,c:2,4|",Backbone,H,OH,-
X1935,COC(=O)COC[C@@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1971,NC(=N)NCC[C@@H]1CCN([*])[C@@H]1C([*])=O |$;;;;;;;;;;_R1;;;_R2;$|,Backbone,H,OH,-
X1684,CC(C)[C@@H](O)[C@@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1838,Cc1ccc(cc1)S(=O)(=O)OCCOC[C@@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1854,"CCC=CC[C@@H](C)C[C@H](N(C)[*])C([*])=O |w:3.3,$;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-
X1856,C[C@H](C[C@@H]1C[C@H]1C)[C@@H](O)[C@H](N(C)[*])C([*])=O |$;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1862,CN([*])[C@H](CCCCNC(=O)OCc1ccc(Cl)cc1)C([*])=O |$;;_R1;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X1793,[*]N[C@@H](CC(=O)c1ccccc1N(=O)=O)C([*])=O |$_R1;;;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X1794,[*]N[C@@H](Cc1cn(CN2CCCC2)c2ccccc12)C([*])=O |$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X1724,[*]N[C@]1(C[C@@H]1c1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X1799,N[C@@H]1C[C@H](N([*])C1)C([*])=O |$;;;;;_R1;;;_R2;$|,Backbone,H,OH,-
X1816,OCCOC[C@@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1884,[*]N[C@]1(C[C@H]1c1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X1751,[*]N[C@H](C([*])=O)c1ccc2ccccc2c1 |$_R1;;;;_R2;;;;;;;;;;;$|,Backbone,H,OH,-
X1802,Clc1[nH]c2ccccc2c1C[C@H](N[*])C([*])=O |$;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1808,CN([*])[C@H](CC#C)C([*])=O |$;;_R1;;;;;;_R2;$|,Backbone,H,OH,-
X1782,CC(C)[C@](N[*])(C([*])=O)C(F)(F)F |$;;;;;_R1;;_R2;;;;;$|,Backbone,H,OH,-
X59,[*]N[C@H](CCCC=C)C([*])=O |$_R1;;;;;;;;;_R2;$|,Backbone,H,OH,-
X66,CC(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
Abu,CC[C@H](N[*])C([*])=O |$;;;;_R1;;_R2;$|,Backbone,H,OH,-
X422,[*]N[C@@H](CCCCC=C)C([*])=O |$_R1;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X283,CC[C@H](N[*])C=O |$;;;;_R1;;$|,Backbone,H,-,-
dNal,[*]N[C@H](Cc1ccc2ccccc2c1)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X221,[*]N[C@H](CCCCCC=C)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X223,[*]N[C@@H](CCCCCCC=C)C([*])=O |$_R1;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X129,FC(F)(F)[C@]1(CCCN1)C([*])=O |$;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X136,Fc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,Backbone,H,OH,-
X137,[*]N[C@@H](COC(=O)c1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X168,CC[C@H](C)N([*])CC([*])=O |$;;;;;_R1;;;_R2;$|,Backbone,H,OH,-
Cbz_I,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X227,OC(=O)CC[C@H](NCCCc1ccc(Cl)c(Cl)c1)C([*])=O |$;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X351,COc1ccc(c(C)c1)-c1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;;;;;;_R1;;_R2;;;$|,Backbone,H,OH,-
X427,OC(=O)CC[C@H](NCCC1CCCCC1)C([*])=O |$;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2202,CC(C)C[C@@H](N[*])C(=O)OCOC(=O)N[C@@H](Cc1ccc(O)cc1)C([*])=O |$;;;;;;_R1;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X2671,[*]N[C@@H](Cc1cn(CCCCCCCCc2ccccc2)cn1)C([*])=O |$_R1;;;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X2793,Cc1ccccc1NC(=S)NCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X2818,"NC(=[NH+]CCC[C@H](N[*])C([*])=O)N1CCCC1 |w:2.2,$;;;;;;;;_R1;;_R2;;;;;;$|",Backbone,H,OH,-
X2804,CCCCCCCCCCCCNCCCC[C@@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
Cbz_Ser(Bzl),[*]C(=O)[C@H](COCc1ccccc1)NC(=O)OCc1ccccc1 |$_R2;;;;;;;;;;;;;;;;;;;;;;;$|,Backbone,-,OH,-
X2838,CC#Cc1ccccc1C(=O)N([C@@H](Cc1ccc(F)cc1)C([*])=O)C(C)=O |$;;;;;;;;;;;;;;;;;;;;;;_R2;;;;$|,Backbone,-,OH,-
X1995,CSCC[C@H](N[*])C(=O)NC(C)=O |$;;;;;;_R1;;;;;;$|,Backbone,H,-,-
X2810,CC(C)C[C@H](NS(=O)(=O)c1ccc(C)cc1)C([*])=O |$;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2811,CC(=O)N([C@@H](Cc1ccc(F)cc1)C([*])=O)C(=O)c1ccccc1N |$;;;;;;;;;;;;;;_R2;;;;;;;;;;$|,Backbone,-,OH,-
X2751,CCOC(=O)[C@H](Cc1ccc2ccccc2c1)N[*] |$;;;;;;;;;;;;;;;;;;_R1$|,Backbone,H,-,-
X2766,COc1cc(C)c([C@@H](C)[C@H](N[*])C([*])=O)c(C)c1 |$;;;;;;;;;;;_R1;;_R2;;;;$|,Backbone,H,OH,-
X2715,[*]N[C@@H](Cc1c[nH]c2ccccc12)C(=O)c1nccs1 |$_R1;;;;;;;;;;;;;;;;;;;$|,Backbone,H,-,-
X2705,OC(=O)[C@@]1(C[C@@H]1Cc1ccccc1)N[*] |$;;;;;;;;;;;;;;_R1$|,Backbone,H,-,-
X2777,OC(=O)C[C@H](N[*])C(=O)COC(=O)c1c(cccc1C(F)(F)F)C(F)(F)F |$;;;;;;_R1;;;;;;;;;;;;;;;;;;;;$|,Backbone,H,-,-
X2038,CC(C)NC(=O)N[C@H](CS[*])C([*])=O |$;;;;;;;;;;_R3;;_R2;$|,Backbone,-,OH,H
Cbz_K,NCCCC[C@H](N([*])C(=O)OCc1ccccc1)C([*])=O |$;;;;;;;_R1;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X2106,Clc1ccc2CN(Cc2c1)C(=O)O[C@@H]1C[C@H](N([*])C1)C([*])=O |$;;;;;;;;;;;;;;;;;_R1;;;_R2;$|,Backbone,H,OH,-
X2138,Clc1cc2ccccc2c(Oc2ccc(cc2)[C@H](N[*])C([*])=O)n1 |$;;;;;;;;;;;;;;;;;;;_R1;;_R2;;$|,Backbone,H,OH,-
X2153,NC(=N)NCCC[C@H](Nc1ccc(O)c2C(=O)c3ccccc3C(=O)c12)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2184,Oc1ccc2c(CC(=O)ON[C@@H](Cc3ccc(OP(O)(O)=O)cc3)C([*])=O)cc(=O)oc2c1 |$;;;;;;;;;;;;;;;;;;;;;;;;;_R2;;;;;;;$|,Backbone,-,OH,-
X2206,NC(=N)N1CCC[C@H](C[C@H](N[*])C(=O)c2nc3ccccc3s2)C1 |$;;;;;;;;;;;_R1;;;;;;;;;;;;$|,Backbone,H,-,-
X2135,NC(=N)N1CCC(C[C@H](N[*])C([*])=O)CC1 |$;;;;;;;;;;_R1;;_R2;;;$|,Backbone,H,OH,-
X2149,NC(=N)NCCC[C@H](N[*])C(=O)c1nc2ccccc2o1 |$;;;;;;;;;_R1;;;;;;;;;;;$|,Backbone,H,-,-
X2151,CC(C)[C@H](NCP(O)(O)=O)C([*])=O |$;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2174,CC[C@H](C)[C@H](N[*])C(=O)NC(=O)[C@@H](N)Cc1ccccc1 |$;;;;;;_R1;;;;;;;;;;;;;;$|,Backbone,H,-,-
K_Me,CC(=O)[C@H](CCCCN)N[*] |$;;;;;;;;;;_R1$|,Backbone,H,-,-
X1018,C[n+]1cscc1C[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1488,CCCCCN1C(=O)C[C@H](NC1=O)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X1489,CCOC(=O)[C@H](CCc1ccccc1)N[*] |$;;;;;;;;;;;;;;;_R1$|,Backbone,H,-,-
X1491,Cc1ccc(C[C@@H](N[*])C([*])=O)c(C)c1 |$;;;;;;;;_R1;;_R2;;;;$|,Backbone,H,OH,-
X1283,CN(C[C@@H](N)Cc1ccccc1)CC([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X1330,NC(N)NCCC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1306,CC(C)(C)OC(=O)N[C@@H](C([*])=O)c1ccsc1 |$;;;;;;;;;;_R2;;;;;;$|,Backbone,-,OH,-
X1253,[*]N1[C@H](Cc2ccccc12)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X1241,[*]N[C@H](Cc1cnc(Cc2ccccc2)[nH]1)C([*])=O |$_R1;;;;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X1408,[*]N[C@@H](CCCCNC1CC1)C([*])=O |$_R1;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X1242,[*]N[C@H](Cc1c[nH]c2cc(ccc12)N(=O)=O)C([*])=O |$_R1;;;;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
Aca,CCCCCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1277,CCN1C(=O)c2cccc3c(ccc(C1=O)c23)-n1cc(C[C@H](N[*])C([*])=O)nn1 |$;;;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;;;$|,Backbone,H,OH,-
X1471,NC(=N)N1CCC[C@@H]1C([*])=O |$;;;;;;;;;_R2;$|,Backbone,-,OH,-
X1481,"OC(=O)[C@@H](CC1=CCCC=C1)N[*] |$;;;;;;;;;;;;_R1$,c:9,t:5|",Backbone,H,-,-
X1475,NCCCCC[C@H](N[*])C(=O)c1nccs1 |$;;;;;;;;_R1;;;;;;;$|,Backbone,H,-,-
Me_dV,CC(C)[C@@H](N(C)[*])C([*])=O |$;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1126,NCCCC[C@H](NC(=O)OCc1ccccc1N(=O)=O)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X242,"CC(C)=CCCC(C)=CC[C@]12C[C@H](N([*])[C@H]1Nc1ccccc21)C([*])=O |w:8.8,$;;;;;;;;;;;;;;_R1;;;;;;;;;;_R2;$|",Backbone,H,OH,-
X387,C[C@@H]([C@H](N[*])C([*])=O)c1ccccc1 |$;;;;_R1;;_R2;;;;;;;$|,Backbone,H,OH,-
Me_dA,C[C@@H](N(C)[*])C([*])=O |$;;;;_R1;;_R2;$|,Backbone,H,OH,-
Boc_E,CC(C)(C)OC(=O)N[C@@H](CCC(O)=O)C([*])=O |$;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X251,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(cc1)S(O)(=O)=O)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
Iva,CC[C@](C)(N[*])C([*])=O |$;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X268,CC(C)(NCCCC1CCCCC1)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X572,"FC(F)(F)CNC(NCCCC[C@@H](N[*])C([*])=O)=NCC(F)(F)F |w:18.18,$;;;;;;;;;;;;;;_R1;;_R2;;;;;;;$|",Backbone,H,OH,-
X255,[*]N1CSC[C@@H]1C([*])=O |$_R1;;;;;;;_R2;$|,Backbone,H,OH,-
X688,CC[C@H](C)[C@H](N[*])C(=O)OCCC(C)C |$;;;;;;_R1;;;;;;;;$|,Backbone,H,-,-
X435,COC(=O)[C@H](Cc1ccc(cc1)C#Cc1ccccc1)N[*] |$;;;;;;;;;;;;;;;;;;;;;_R1$|,Backbone,H,-,-
X440,[*]N(CC([*])=O)Cc1ccco1 |$_R1;;;;_R2;;;;;;;$|,Backbone,H,OH,-
X258,NC(=O)NCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X200,"OC(=O)[C@@H](N[*])C=CCP(O)(O)=O |w:7.7,$;;;;;_R1;;;;;;;$|",Backbone,H,-,-
X169,ClCCN(N=O)C(=O)N1CCC[C@H]1C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
R_Me,CC(=O)[C@H](CCCNC(N)=N)N[*] |$;;;;;;;;;;;;_R1$|,Backbone,H,-,-
X171,CC(=O)SCCOP(=O)(OCCSC(C)=O)Oc1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;;;$|,Backbone,H,OH,-
X374,[*]N[C@@H](Cc1ccc(cc1)C(=O)c1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X152,CCOC(=O)[C@@H](N[*])C(C(F)(F)F)C(F)(F)F |$;;;;;;;_R1;;;;;;;;;$|,Backbone,H,-,-
X1562,C[C@@](CC=C)(N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
EtCO_dPhg,CCOC(=O)N[C@@H](C([*])=O)c1ccccc1 |$;;;;;;;;_R2;;;;;;;$|,Backbone,-,OH,-
X1086,CCCCNC(=O)N[C@@H](Cc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X1550,CC(C)[C@H](NCCCS)C([*])=O |$;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X1551,Cn1c[nH+]c(C[C@H](N[*])C([*])=O)c1 |$;;;;;;;;_R1;;_R2;;$|,Backbone,H,OH,-
X1632,"CC(C)CCCC(C)=CC[C@]12C[C@H](N([*])[C@H]1Nc1ccccc21)C([*])=O |w:8.8,$;;;;;;;;;;;;;;_R1;;;;;;;;;;_R2;$|",Backbone,H,OH,-
X958,CC(C)[C@H](NC(=O)N(c1ccccc1)c1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X1449,Oc1ccc(C[C@H](N(CC2CC2)CC2CC2)C([*])=O)cc1 |$;;;;;;;;;;;;;;;;;_R2;;;$|,Backbone,-,OH,-
X1588,"CCCCCCN=C(NCCCC[C@@H](N[*])C([*])=O)NC#N |w:6.5,$;;;;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-
X594,Fc1ccc(cc1)-c1cn(nn1)[C@H]1C[C@H](N([*])C1)C([*])=O |$;;;;;;;;;;;;;;;;_R1;;;_R2;$|,Backbone,H,OH,-
X2582,OC(=O)CCCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X2635,CNC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C([*])=O |$;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2640,[*]N[C@@H](CC1CCNCC1)C(=O)c1nccs1 |$_R1;;;;;;;;;;;;;;;;$|,Backbone,H,-,-
X2668,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)cc1Cl)C([*])=O |$;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2632,FC(F)C[C@H](C(=O)[C@H](CC1CCCCC1)N[*])C(=O)c1nc2ccccc2o1 |$;;;;;;;;;;;;;;;;_R1;;;;;;;;;;;$|,Backbone,H,-,-
X2547,C[C@H]1CCC[C@@H](C)N1C(=O)N[C@@H](CC(C)(C)C)C([*])=O |$;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2535,Cc1nn(CC([*])=O)c(=O)n(CC(O)=O)c1=O |$;;;;;;_R2;;;;;;;;;;$|,Backbone,-,OH,-
X2289,[*]N1C[C@H](Cc2ccccc2)NC(=O)C1 |$_R1;;;;;;;;;;;;;;$|,Backbone,H,-,-
X2302,Oc1ccc(C[C@H](N[*])C(=O)c2nc3ccccc3[nH]2)cc1 |$;;;;;;;;_R1;;;;;;;;;;;;;$|,Backbone,H,-,-
X2356,"CS(=O)(=O)CCC=C[C@H](NC(=O)OCc1ccccc1)C([*])=O |w:6.5,$;;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone,-,OH,-
X2454,CC(C)[C@H](NCc1cc(F)ccc1O)C([*])=O |$;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2412,Oc1ccc(C[C@@H](NC(=O)NC(=O)[C@H](Cc2ccc3ccccc3c2)N[*])C([*])=O)cc1 |$;;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;;;$|,Backbone,H,OH,-
X2354,CCCCCCCCCCn1cncc1C[C@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X2350,NCCCC[C@H](NOC(=O)[C@H](CCCN)N[*])C([*])=O |$;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X2421,CNCCCC[C@@H](N[*])C(=O)c1nc2ccccc2s1 |$;;;;;;;;_R1;;;;;;;;;;;$|,Backbone,H,-,-
X2441,Cc1cn(C[C@H](N[*])C([*])=O)c(=O)[nH]c1=O |$;;;;;;;_R1;;_R2;;;;;;$|,Backbone,H,OH,-
X2473,Clc1ccc(C[C@H](NC(=O)NCC=C)C([*])=O)cc1 |$;;;;;;;;;;;;;;;_R2;;;$|,Backbone,-,OH,-
X2267,OC(=O)CC[C@H](NC(O)=O)C([*])=O |$;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2268,CC(C)[C@H](NC(c1ncccc1O)c1ncccc1O)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2257,[*]N[C@@H](CNCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X2324,CC(C)[C@H](N[*])C(=O)C(F)(F)CNCc1ccccc1 |$;;;;;_R1;;;;;;;;;;;;;;$|,Backbone,H,-,-
X2326,CC(C)(C)OC(=O)NC[C@H](N[*])C=O |$;;;;;;;;;;;_R1;;$|,Backbone,H,-,-
X595,CCCCCCCCCCCCCCCC(=O)OC[C@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X480,NCCCCC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X615,CC[C@H]1C[C@@]1(N[*])C(O)=O |$;;;;;;_R1;;;$|,Backbone,H,-,-
X499,FC(F)(F)c1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;_R1;;_R2;;;$|,Backbone,H,OH,-
X762,COC(=O)C1(CCCCCC1)N[*] |$;;;;;;;;;;;;_R1$|,Backbone,H,-,-
X710,Cc1cc(C)c(C[C@H](N[*])C([*])=O)c(C)c1 |$;;;;;;;;;_R1;;_R2;;;;$|,Backbone,H,OH,-
X711,COC(=O)C[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X974,COC(=O)C(=O)[C@H](CC(F)F)N[*] |$;;;;;;;;;;;;_R1$|,Backbone,H,-,-
X670,[*]N1CSC[C@H]1C([*])=O |$_R1;;;;;;;_R2;$|,Backbone,H,OH,-
X2853,CC(=O)OP(=O)(OC(C)=O)Oc1ccc(C[C@H](N)C([*])=O)cc1 |$;;;;;;;;;;;;;;;;;;;_R2;;;$|,Backbone,-,OH,-
dPhe(2-NO2),[*]N[C@H](Cc1ccccc1N(=O)=O)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
dPhe(3-NO2),[*]N[C@H](Cc1cccc(c1)N(=O)=O)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X3023,Clc1cccc(C[C@@H]2C[C@H](N([*])C2)C([*])=O)c1 |$;;;;;;;;;;;_R1;;;_R2;;$|,Backbone,H,OH,-
X2866,CC(C)C[C@H](NS(=O)(=O)c1ccc2ccccc2c1)C([*])=O |$;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2895,CC(C)C[C@H](NC(=O)NC[C@@H](O)CO)C([*])=O |$;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2869,OC(=O)c1ccc(cc1)S(=O)(=O)NCC([*])=O |$;;;;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2544,CC1CCC(CC(=O)[C@H](Cc2ccc(O)cc2)N[C@@H](Cc2ccccc2)C([*])=O)(CC1)S[*] |$;;;;;;;;;;;;;;;;;;;;;;;;;;;_R2;;;;;_R3$|,Backbone,-,OH,H
X2516,NC(=N)NCC[C@@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
X1645,[*]N[C@@H](Cc1ccc(cc1)N=C=S)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X2254,[*]N[C@@H](CCCOc1ccc(C[C@H](NC(=O)OCc2ccccc2)C([*])=O)cc1)C=O |$_R1;;;;;;;;;;;;;;;;;;;;;;;;;_R2;;;;;$|,Backbone,H,OH,-
X2235,NC(=N)N[C@H](C1CCCCC1)C([*])=O |$;;;;;;;;;;;;_R2;$|,Backbone,-,OH,-
X2238,OC(=O)CN([*])N[C@@H](Cc1ccc(O)cc1)C([*])=O |$;;;;;_R1;;;;;;;;;;;;_R2;$|,Backbone,H,OH,-
X7,"FC(F)(F)CNC(NCCCC[C@H](N[*])C([*])=O)=NCC(F)(F)F |w:18.18,$;;;;;;;;;;;;;;_R1;;_R2;;;;;;;$|",Backbone,H,OH,-
M,CSCC[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,Backbone,H,OH,-
