molregno	description	helm_notation	pref_name	chembl_id	structure_type	molecule_type	oral	withdrawn_flag
1427	NULL	PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.A.L.T.M}$$$$	NULL	CHEMBL406591	BOTH	Protein	0	0
1602	NULL	PEPTIDE1{[X307].L.F}$$$$	NULL	CHEMBL265408	BOTH	Protein	0	0
1703	NULL	PEPTIDE1{[X1043].L.F}$$$$	NULL	CHEMBL7214	BOTH	Protein	0	0
1715	NULL	PEPTIDE1{[dGlp].E.[dP].[am]}$$$$	NULL	CHEMBL7003	BOTH	Protein	0	0
1731	NULL	PEPTIDE1{[X1086].[dL].F.[dL].F}$$$$	NULL	CHEMBL7363	BOTH	Protein	0	0
1732	NULL	PEPTIDE1{[X257].[dL].F.[dL].F}$$$$	NULL	CHEMBL7122	BOTH	Protein	0	0
1733	NULL	PEPTIDE1{[X1602].[dL].F.[dL].F}$$$$	NULL	CHEMBL6450	BOTH	Protein	0	0
1742	NULL	PEPTIDE1{[X1439].L.F}$$$$	NULL	CHEMBL266448	BOTH	Protein	0	0
1748	NULL	PEPTIDE1{[X2338].L.F}$$$$	NULL	CHEMBL267388	BOTH	Protein	0	0
1794	NULL	PEPTIDE1{[X1590].L.F}$$$$	NULL	CHEMBL266089	BOTH	Protein	0	0
1863	NULL	PEPTIDE1{[X802].L.F}$$$$	NULL	CHEMBL7034	BOTH	Protein	0	0
1868	NULL	PEPTIDE1{[X2589].L.F}$$$$	NULL	CHEMBL6997	BOTH	Protein	0	0
1869	NULL	PEPTIDE1{[X2443].L.F}$$$$	NULL	CHEMBL266802	BOTH	Protein	0	0
1873	NULL	PEPTIDE1{[X455].[dL].F.[dL].F}$$$$	NULL	CHEMBL7486	BOTH	Protein	0	0
1874	NULL	PEPTIDE1{[X876].[dL].F.[dL].F}$$$$	NULL	CHEMBL162488	BOTH	Protein	0	0
1909	NULL	PEPTIDE1{[X1107].L.F}$$$$	NULL	CHEMBL268823	BOTH	Protein	0	0
1930	NULL	PEPTIDE1{[X456].L.F}$$$$	NULL	CHEMBL7306	BOTH	Protein	0	0
1944	NULL	PEPTIDE1{[X2773].L.F}$$$$	NULL	CHEMBL7520	BOTH	Protein	0	0
1966	NULL	PEPTIDE1{[X607].L.F}$$$$	NULL	CHEMBL7181	BOTH	Protein	0	0
2005	NULL	PEPTIDE1{[X91].L.F}$$$$	NULL	CHEMBL415299	BOTH	Protein	0	0
2025	NULL	PEPTIDE1{[X2774].L.F}$$$$	NULL	CHEMBL7226	BOTH	Protein	0	0
2774	NULL	PEPTIDE1{[ac].D.A.D.E.[X201].L.[am]}$$$$	NULL	CHEMBL428184	BOTH	Protein	0	0
2874	NULL	PEPTIDE1{[ac].D.[X699].V.P.M.L.[am]}$$$$	NULL	CHEMBL7957	BOTH	Protein	0	0
2947	NULL	PEPTIDE1{[ac].D.[X127].V.P.M.L.[am]}$$$$	NULL	CHEMBL7519	BOTH	Protein	0	0
2955	NULL	PEPTIDE1{[ac].D.[X201].V.P.M.L.[am]}$$$$	NULL	CHEMBL428835	BOTH	Protein	0	0
3036	NULL	PEPTIDE1{[ac].D.A.D.E.[X699].L.[am]}$$$$	NULL	CHEMBL8284	BOTH	Protein	0	0
3239	NULL	PEPTIDE1{[Me_Phg].P.R}$$$$	NULL	CHEMBL8108	BOTH	Protein	0	0
3253	NULL	PEPTIDE1{F.P.S.K.P}$$$$	NULL	CHEMBL8072	BOTH	Protein	0	0
3254	NULL	PEPTIDE1{S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y}$$$$	NULL	CHEMBL428276	BOTH	Protein	0	0
3371	NULL	PEPTIDE1{I.N.L.I.T.R.Q.R.Y}$$$$	NULL	CHEMBL216785	BOTH	Protein	0	0
3372	NULL	PEPTIDE1{Y.P.F.[dP].[am]}$$$$	NULL	CHEMBL267708	BOTH	Protein	0	0
3389	ENKEPHALIN	PEPTIDE1{Y.G.G.F.L}$$$$	ENKEPHALIN	CHEMBL8234	BOTH	Protein	0	0
3452	NULL	PEPTIDE1{L.R.H.Y.I.N.L.I.T.R.Q.R.Y}$$$$	NULL	CHEMBL410260	BOTH	Protein	0	0
4350	NULL	PEPTIDE1{[X1178].P.[X2577].L}$$$$	NULL	CHEMBL269581	BOTH	Protein	0	0
4358	NULL	PEPTIDE1{[Boc_K].[X2362].I.L}$$$$	NULL	CHEMBL267748	BOTH	Protein	0	0
4392	NULL	PEPTIDE1{K.P.Y.I.L}$$$$	NULL	CHEMBL8454	BOTH	Protein	0	0
4393	NULL	PEPTIDE1{[X1178].P.Y.I.L}$$$$	NULL	CHEMBL427656	BOTH	Protein	0	0
4394	NULL	PEPTIDE1{[Boc_K].P.Y.I.L}$$$$	NULL	CHEMBL8857	BOTH	Protein	0	0
4408	NULL	PEPTIDE1{[X1178].[X2732].I.L}$$$$	NULL	CHEMBL8899	BOTH	Protein	0	0
5991	NULL	PEPTIDE1{C.R.L.A.Q.D.E.A.D.V.T.E.Y.C}$$$$	NULL	CHEMBL268613	BOTH	Protein	0	0
7818	NULL	PEPTIDE1{Y.V.P.T.N.V.G.F.E.A.F}$$$$	NULL	CHEMBL407856	BOTH	Protein	0	0
7819	NULL	PEPTIDE1{S.K.V.I.L.P}$$$$	NULL	CHEMBL10920	BOTH	Protein	0	0
7918	NULL	PEPTIDE1{[ac].[dE].A}|PEPTIDE2{E.K.[X556].R.K.L.F.D.I.I.[am]}$PEPTIDE2,PEPTIDE1,2:R3-2:R3|PEPTIDE1,PEPTIDE2,3:R2-1:R1$$$	NULL	CHEMBL413613	BOTH	Protein	0	0
7972	NULL	PEPTIDE1{[ac].[dE].A}|PEPTIDE2{E.K.N.R.K.L.[Cha].D.I.I.[am]}$PEPTIDE2,PEPTIDE1,2:R3-2:R3|PEPTIDE1,PEPTIDE2,3:R2-1:R1$$$	NULL	CHEMBL386892	BOTH	Protein	0	0
8194	NULL	PEPTIDE1{[ac].[dE].[dA]}|PEPTIDE2{E.K.N.R.K.L.[Cha].D.I.I.[am]}$PEPTIDE2,PEPTIDE1,2:R3-2:R3|PEPTIDE1,PEPTIDE2,3:R2-1:R1$$$	NULL	CHEMBL407570	BOTH	Protein	0	0
8195	NULL	PEPTIDE1{E.K.[X556].R.K.L.F.D.I.I.[am]}|PEPTIDE2{[ac].[dE].D}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R3$$$	NULL	CHEMBL413591	BOTH	Protein	0	0
10283	NULL	PEPTIDE1{[X1126].K.A.L.R.R.Q.E.V.D.A.L}$$$$	NULL	CHEMBL385035	BOTH	Protein	0	0
10284	NULL	PEPTIDE1{[X1126].[X154].A.L.R.R.Q.E.V.D.A.L}$$$$	NULL	CHEMBL413614	BOTH	Protein	0	0
10285	NULL	PEPTIDE1{[Cbz_A].L.R.R.Q.E.A.V.D.A.L}$$$$	NULL	CHEMBL425458	BOTH	Protein	0	0
10633	[Val5] - ANGIOTENSIN II	PEPTIDE1{D.R.V.Y.V.H.P.F}$$$$	[Val5] - ANGIOTENSIN II	CHEMBL216830	BOTH	Protein	0	0
10804	NULL	PEPTIDE1{[Sar].R.V.Y.V.H.P.[dL]}$$$$	NULL	CHEMBL430319	BOTH	Protein	0	0
10805	NULL	PEPTIDE1{[Sar].R.V.Y.V.H.P.[X1010]}$$$$	NULL	CHEMBL430061	BOTH	Protein	0	0
10814	NULL	PEPTIDE1{[Sar].R.V.Y.V.H.P.[X305]}$$$$	NULL	CHEMBL216204	BOTH	Protein	0	0
10994	NULL	PEPTIDE1{Y.G.G.F.L.R.R.I.R.P.K.L.K.[am]}$$$$	NULL	CHEMBL415330	BOTH	Protein	0	0
11056	NULL	PEPTIDE1{Y.[Aib].G.F.L.R.R.I.R.P.K.L.K.[am]}$$$$	NULL	CHEMBL404976	BOTH	Protein	0	0
12073	NULL	PEPTIDE1{[ac].[X127].E.[X2320].[am]}$$$$	NULL	CHEMBL273628	BOTH	Protein	0	0
12171	NULL	PEPTIDE1{Y.C.N.G.K.R.V.C.V.C.R.[am]}$$$$	NULL	CHEMBL217047	BOTH	Protein	0	0
12172	NULL	PEPTIDE1{[ac].Y.C.N.G.K.R.V.C.V.C.R.[am]}$$$$	NULL	CHEMBL216084	BOTH	Protein	0	0
12246	MAGAININ 2	PEPTIDE1{G.I.G.K.F.L.H.S.A.K.K.F.G.K.A.F.V.G.E.I.M.N.S}$$$$	MAGAININ 2	CHEMBL414933	BOTH	Protein	0	0
12261	NULL	PEPTIDE1{[ac].K.K.Y.I.K.V.F.V.F.K.[am]}$$$$	NULL	CHEMBL216243	BOTH	Protein	0	0
12262	NULL	PEPTIDE1{K.K.Y.I.K.V.F.V.F.K.[am]}$$$$	NULL	CHEMBL273655	BOTH	Protein	0	0
12390	NULL	PEPTIDE1{K.Y.C.N.G.K.R.V.C.V.C.R.[am]}$$$$	NULL	CHEMBL436867	BOTH	Protein	0	0
12517	NULL	PEPTIDE1{K.K.Y.C.N.G.K.R.V.C.V.C.R.[am]}$$$$	NULL	CHEMBL217796	BOTH	Protein	0	0
12526	NULL	PEPTIDE1{F.Y.C.N.G.K.R.V.C.V.C.R.[am]}$$$$	NULL	CHEMBL267789	BOTH	Protein	0	0
13027	NULL	PEPTIDE1{Y.A.G.[X56]}$$$$	NULL	CHEMBL13695	BOTH	Protein	0	0
13033	NULL	PEPTIDE1{[X870].A.G.[dF].[dL]}$$$$	NULL	CHEMBL13665	BOTH	Protein	0	0
13142	NULL	PEPTIDE1{Y.A.G.[Cha].L}$$$$	NULL	CHEMBL13767	BOTH	Protein	0	0
13264	NULL	PEPTIDE1{Y.A.G}$$$$	NULL	CHEMBL274367	BOTH	Protein	0	0
13275	NULL	PEPTIDE1{Y.A.[X803]}$$$$	NULL	CHEMBL13834	BOTH	Protein	0	0
13283	NULL	PEPTIDE1{Y.A.G.[X56].[dL]}$$$$	NULL	CHEMBL14570	BOTH	Protein	0	0
13316	NULL	PEPTIDE1{A.R.V.[X172].I.H.[dP].F}$$$$	NULL	CHEMBL218513	BOTH	Protein	0	0
13321	NULL	PEPTIDE1{[Sar].R.V.[dF].I.H.[dP].F}$$$$	NULL	CHEMBL425794	BOTH	Protein	0	0
13323	NULL	PEPTIDE1{[Sar].R.V.[dY].I.H.[dP].F}$$$$	NULL	CHEMBL384867	BOTH	Protein	0	0
13325	NULL	PEPTIDE1{D.R.V.[X172].I.H.[dP].F}$$$$	NULL	CHEMBL415338	BOTH	Protein	0	0
13364	NULL	PEPTIDE1{Y.M.G.F.P.[am]}$$$$	NULL	CHEMBL13894	BOTH	Protein	0	0
13365	NULL	PEPTIDE1{Y.A.G.[meF].[X157]}$$$$	NULL	CHEMBL274204	BOTH	Protein	0	0
13432	NULL	PEPTIDE1{Y.G.G.F.M}$$$$	NULL	CHEMBL13786	BOTH	Protein	0	0
13433	NULL	PEPTIDE1{Y.G.G.F.M.T}$$$$	NULL	CHEMBL14204	BOTH	Protein	0	0
13434	NULL	PEPTIDE1{Y.S.G.F.L.T}$$$$	NULL	CHEMBL14230	BOTH	Protein	0	0
13558	NULL	PEPTIDE1{Y.A.G.F.L}$$$$	NULL	CHEMBL266834	BOTH	Protein	0	0
13559	NULL	PEPTIDE1{Y.A.G.F.M.T}$$$$	NULL	CHEMBL14036	BOTH	Protein	0	0
13681	NULL	PEPTIDE1{[ac].Y.G.G.Q.[am]}$$$$	NULL	CHEMBL276662	BOTH	Protein	0	0
13823	NULL	PEPTIDE1{[ac].Q.Q.F.[Sar].[am]}$$$$	NULL	CHEMBL14313	BOTH	Protein	0	0
13824	NULL	PEPTIDE1{[ac].D.Q.L.F.[am]}$$$$	NULL	CHEMBL14132	BOTH	Protein	0	0
13834	NULL	PEPTIDE1{[ac].K.[Sar].Y.[meD].[am]}$$$$	NULL	CHEMBL14263	BOTH	Protein	0	0
13835	NULL	PEPTIDE1{[ac].G.[meF].K.D.[am]}$$$$	NULL	CHEMBL417440	BOTH	Protein	0	0
13844	NULL	PEPTIDE1{[ac].K.[meF].G.[meL].[am]}$$$$	NULL	CHEMBL14529	BOTH	Protein	0	0
13845	NULL	PEPTIDE1{[ac].F.Q.K.[meL].[am]}$$$$	NULL	CHEMBL275244	BOTH	Protein	0	0
13864	NULL	PEPTIDE1{[ac].S.[meF].G.G.[am]}$$$$	NULL	CHEMBL14382	BOTH	Protein	0	0
13880	NULL	PEPTIDE1{[ac].V.[meY].L.Q.[am]}$$$$	NULL	CHEMBL14147	BOTH	Protein	0	0
13881	NULL	PEPTIDE1{[am]}|PEPTIDE2{[ac].V.[meE].[meS].[meF].[am]}$PEPTIDE2,PEPTIDE1,3:R3-1:R1$$$	NULL	CHEMBL273431	BOTH	Protein	0	0
13882	NULL	PEPTIDE1{[ac].G.[meD].F.[meK].[am]}$$$$	NULL	CHEMBL14150	BOTH	Protein	0	0
13887	NULL	PEPTIDE1{[ac].G.[Sar].L.F.[am]}$$$$	NULL	CHEMBL416346	BOTH	Protein	0	0
13899	NULL	PEPTIDE1{[ac].F.P.F.Y.[am]}$$$$	NULL	CHEMBL275208	BOTH	Protein	0	0
13905	NULL	PEPTIDE1{[ac].F.L.V.[meL].[am]}$$$$	NULL	CHEMBL14301	BOTH	Protein	0	0
13909	NULL	PEPTIDE1{[am]}|PEPTIDE2{[ac].F.[meE].Q.[meS].[am]}$PEPTIDE2,PEPTIDE1,3:R3-1:R1$$$	NULL	CHEMBL275065	BOTH	Protein	0	0
13927	NULL	PEPTIDE1{[ac].G.L.D.[meF].[am]}$$$$	NULL	CHEMBL274040	BOTH	Protein	0	0
13979	NULL	PEPTIDE1{[ac].G.S.Y.[meV].[am]}$$$$	NULL	CHEMBL275201	BOTH	Protein	0	0
14020	NULL	PEPTIDE1{[ac].L.V.Y.G.[am]}$$$$	NULL	CHEMBL14825	BOTH	Protein	0	0
14248	NULL	PEPTIDE1{G.G.G.G.G}$$$$	NULL	CHEMBL14390	BOTH	Protein	0	0
14583	NULL	PEPTIDE1{Y.[dD].G.[dF]}|PEPTIDE2{L.K.R.I.R.[dP].[dK].[am]}$PEPTIDE2,PEPTIDE1,2:R3-2:R3|PEPTIDE1,PEPTIDE2,4:R2-1:R1$$$	NULL	CHEMBL415339	BOTH	Protein	0	0
14610	NULL	PEPTIDE1{Y.D.G.[dF]}|PEPTIDE2{L.K.R.I.R.[dP].[dK].[am]}$PEPTIDE2,PEPTIDE1,2:R3-2:R3|PEPTIDE1,PEPTIDE2,4:R2-1:R1$$$	NULL	CHEMBL413011	BOTH	Protein	0	0
14611	NULL	PEPTIDE1{Y.G.[dD]}|PEPTIDE2{[dF].L.[dR].[dK].I.R.[dP].[dK].[am]}$PEPTIDE2,PEPTIDE1,4:R3-3:R3|PEPTIDE1,PEPTIDE2,3:R2-1:R1$$$	NULL	CHEMBL386170	BOTH	Protein	0	0
14621	NULL	PEPTIDE1{[dY].G.G.[dF].[dK].[dR].R}|PEPTIDE2{[dI].[dD].P.[dK].[am]}$PEPTIDE2,PEPTIDE1,2:R3-5:R3|PEPTIDE1,PEPTIDE2,7:R2-1:R1$$$	NULL	CHEMBL412600	BOTH	Protein	0	0
14622	NULL	PEPTIDE1{Y.G.D}|PEPTIDE2{[dF].L.[dR].[dK].I.R.[dP].[dK].[am]}$PEPTIDE2,PEPTIDE1,4:R3-3:R3|PEPTIDE1,PEPTIDE2,3:R2-1:R1$$$	NULL	CHEMBL216182	BOTH	Protein	0	0
14857	NULL	PEPTIDE1{Y.G.G.F.K.R.R.I.D.[dP].[dK].[am]}$$$$	NULL	CHEMBL384485	BOTH	Protein	0	0
14858	NULL	PEPTIDE1{Y.G.[dD].F.L.R.K.I.R.[dP].[dK].[am]}$$$$	NULL	CHEMBL277132	BOTH	Protein	0	0
14859	NULL	PEPTIDE1{Y.G.D.F.L.R.K.I.R.[dP].[dK].[am]}$$$$	NULL	CHEMBL387437	BOTH	Protein	0	0
14878	NULL	PEPTIDE1{Y.G.G.F.K.R.R.I.[dD].[dP].[dK].[am]}$$$$	NULL	CHEMBL412580	BOTH	Protein	0	0
14934	NULL	PEPTIDE1{Y.D.G.F.L.K.R.I.R.[dP].[dK].[am]}$$$$	NULL	CHEMBL217049	BOTH	Protein	0	0
14935	NULL	PEPTIDE1{Y.[dD].G.F.L.K.R.I.R.[dP].[dK].[am]}$$$$	NULL	CHEMBL264733	BOTH	Protein	0	0
14936	NULL	PEPTIDE1{[dY].G.G.[dF].[dK].[dR].R}|PEPTIDE2{[dI].D.P.[dK].[am]}$PEPTIDE2,PEPTIDE1,2:R3-5:R3|PEPTIDE1,PEPTIDE2,7:R2-1:R1$$$	NULL	CHEMBL387083	BOTH	Protein	0	0
15018	NULL	PEPTIDE1{[dP].G}|PEPTIDE2{Y.[dOrn].[1-Nal]}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R2$$$	NULL	CHEMBL278891	BOTH	Protein	0	0
15019	NULL	PEPTIDE1{[dP].G}|PEPTIDE2{Y.[Orn].[Nal]}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R2$$$	NULL	CHEMBL275670	BOTH	Protein	0	0
15091	NULL	PEPTIDE1{[dP].G}|PEPTIDE2{Y.K.[Nal]}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R2$$$	NULL	CHEMBL274012	BOTH	Protein	0	0
15097	NULL	PEPTIDE1{P.G}|PEPTIDE2{Y.[dDab].[dNal]}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R2$$$	NULL	CHEMBL278889	BOTH	Protein	0	0
15098	NULL	PEPTIDE1{[dP].G}|PEPTIDE2{Y.[Orn].F}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R2$$$	NULL	CHEMBL15100	BOTH	Protein	0	0
15227	NULL	PEPTIDE1{[dP].G}|PEPTIDE2{Y.[dOrn].W}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-2:R2$$$	NULL	CHEMBL14887	BOTH	Protein	0	0
15245	NULL	PEPTIDE1{[dP]}|PEPTIDE2{Y.[Orn].[Nal]}$PEPTIDE2,PEPTIDE1,3:R2-1:R1|PEPTIDE2,PEPTIDE1,2:R3-1:R2$$$	NULL	CHEMBL280264	BOTH	Protein	0	0
15512	NULL	PEPTIDE1{[X85].G.G.F.L}$$$$	NULL	CHEMBL15033	BOTH	Protein	0	0
15577	NULL	PEPTIDE1{[X1354].G.G.F.L}$$$$	NULL	CHEMBL14974	BOTH	Protein	0	0
15578	NULL	PEPTIDE1{[X1449].G.G.F.L}$$$$	NULL	CHEMBL269347	BOTH	Protein	0	0
15595	NULL	PEPTIDE1{[X212].G.G.F.L}$$$$	NULL	CHEMBL15032	BOTH	Protein	0	0
15656	NULL	PEPTIDE1{[X260].G.G.F.L}$$$$	NULL	CHEMBL15031	BOTH	Protein	0	0
15657	NULL	PEPTIDE1{[X959].G.G.F.L}$$$$	NULL	CHEMBL276099	BOTH	Protein	0	0
15658	NULL	PEPTIDE1{[X1569].G.G.F.L}$$$$	NULL	CHEMBL15249	BOTH	Protein	0	0
15670	NULL	PEPTIDE1{[dY].G.G.[dF].[dL]}$$$$	NULL	CHEMBL15595	BOTH	Protein	0	0
15672	NULL	PEPTIDE1{Y.G.F.L}$$$$	NULL	CHEMBL15695	BOTH	Protein	0	0
15695	DYNORPHIN	PEPTIDE1{Y.G.G.F.L.R.R.[lalloI]}$$$$	DYNORPHIN	CHEMBL268984	BOTH	Protein	0	0
15735	NULL	PEPTIDE1{[dF].G.G.F.L}$$$$	NULL	CHEMBL15261	BOTH	Protein	0	0
16248	NULL	PEPTIDE1{L.I.Y.R.L.R.Y.[am]}$$$$	NULL	CHEMBL406383	BOTH	Protein	0	0
16264	NEUROPEPTIDE-Y	PEPTIDE1{Y.P.S.K.P.D.N.P.G.E.D.A.P.A.E.D.L.A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NEUROPEPTIDE-Y	CHEMBL267633	BOTH	Protein	0	0
16361	NULL	PEPTIDE1{I.Y.R.L.R.Y.[am]}$$$$	NULL	CHEMBL275220	BOTH	Protein	0	0
16368	NULL	PEPTIDE1{Q.M.E.A.E}$$$$	NULL	CHEMBL15603	BOTH	Protein	0	0
16373	NULL	PEPTIDE1{T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL277607	BOTH	Protein	0	0
16379	NULL	PEPTIDE1{E.E.I.V.[dP].N}$$$$	NULL	CHEMBL16438	BOTH	Protein	0	0
16387	NULL	PEPTIDE1{[ac].E.D.A.P.A.E.D.L.A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL411780	BOTH	Protein	0	0
16407	NULL	PEPTIDE1{A.[X395].S.E.I.Q.L.M.H.N.L.G.K.H.L.N.S.M.E.R.V.E.W.L.R.K.K.L.Q.D.V.H.N.F.V.A.[am]}$$$$	NULL	CHEMBL414103	BOTH	Protein	0	0
16408	NULL	PEPTIDE1{[meA].V.S.E.I.Q.L.M.H.N.L.G.K.H.L.N.S.M.E.R.V.E.W.L.R.K.K.L.Q.D.V.H.N.F.V.A.[am]}$$$$	NULL	CHEMBL440239	BOTH	Protein	0	0
16410	NULL	PEPTIDE1{N.L.I.Y.R.L.R.Y.[am]}$$$$	NULL	CHEMBL428097	BOTH	Protein	0	0
16411	NPY[TYR32,LEU34]	PEPTIDE1{Y.P.S.K.P.D.N.P.G.E.D.A.P.A.E.D.L.A.R.Y.Y.S.A.L.R.H.Y.I.N.L.I.Y.R.L.R.Y.[am]}$$$$	NPY[TYR32,LEU34]	CHEMBL439534	BOTH	Protein	0	0
16428	NULL	PEPTIDE1{Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL385245	BOTH	Protein	0	0
16429	NULL	PEPTIDE1{R.H.Y.I.N.L.I.Y.R.L.R.Y.[am]}$$$$	NULL	CHEMBL383861	BOTH	Protein	0	0
16430	NULL	PEPTIDE1{H.Y.I.N.L.I.Y.R.L.R.Y.[am]}$$$$	NULL	CHEMBL274850	BOTH	Protein	0	0
16548	NULL	PEPTIDE1{A.[meV].S.E.I.Q.L.M.H.N.L.G.K.H.L.N.S.M.E.R.V.E.W.L.R.K.K.L.Q.D.V.H.N.F.V.A.[am]}$$$$	NULL	CHEMBL414363	BOTH	Protein	0	0
16549	NULL	PEPTIDE1{[meA].[meV].S.E.I.Q.L.M.H.N.L.G.K.H.L.N.S.M.E.R.V.E.W.L.R.K.K.L.Q.D.V.H.N.F.V.A.[am]}$$$$	NULL	CHEMBL412178	BOTH	Protein	0	0
16553	NULL	PEPTIDE1{Y.I.N.L.L.Y.R.P.R.Y.[am]}$$$$	NULL	CHEMBL269544	BOTH	Protein	0	0
16554	NULL	PEPTIDE1{I.N.P.I.Y.R.L.R.Y.[am]}$$$$	NULL	CHEMBL386823	BOTH	Protein	0	0
16555	NULL	PEPTIDE1{Y.I.N.P.I.Y.R.L.R.Y.[am]}$$$$	NULL	CHEMBL385246	BOTH	Protein	0	0
16582	NULL	PEPTIDE1{Y.I.N.L.I.Y.R.L.R.Y.[am]}$$$$	NULL	CHEMBL269515	BOTH	Protein	0	0
16583	NULL	PEPTIDE1{I.N.L.I.Y.R.L.R.Y.[am]}$$$$	NULL	CHEMBL409457	BOTH	Protein	0	0
16635	NULL	PEPTIDE1{Y.I.N.L.L.Y.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL439356	BOTH	Protein	0	0
16636	NULL	PEPTIDE1{Y.I.N.L.I.T.R.L.Y.[am]}$$$$	NULL	CHEMBL406275	BOTH	Protein	0	0
16667	NULL	PEPTIDE1{R.H.Y.I.N.L.I.T.R.Q.R.Y.[am]}$$$$	NULL	CHEMBL386822	BOTH	Protein	0	0
16726	SCALCITONIN	PEPTIDE1{[dC].[dS].N.[dL].S.[dalloT].[dC].V.L.S.A.Y.W.R.N.L.N.N.F.H.R.F.S.G.M.G.F.G.[dP].Q.T.P}$PEPTIDE1,PEPTIDE1,7:R3-1:R3$$$	SCALCITONIN	CHEMBL409696	BOTH	Protein	0	0
16760	NULL	PEPTIDE1{C.C.R.Q.K.T.C.S.C.R.L.Y.E.L.L.H.G.A.G.N.H.A.A.G.I.L.T.L}$$$$	NULL	CHEMBL265747	BOTH	Protein	0	0
16761	NULL	PEPTIDE1{R.S.G.P.P.G.L.Q.G.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A}$$$$	NULL	CHEMBL267350	BOTH	Protein	0	0
16762	NULL	PEPTIDE1{R.S.G.P.P.G.L.Q.G.R.L.Q.R.L.[meL].Q.A.S.G.N.H.A.A.G.I}$$$$	NULL	CHEMBL438032	BOTH	Protein	0	0
16763	NULL	PEPTIDE1{G.L.G.A.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$	NULL	CHEMBL437920	BOTH	Protein	0	0
16764	NULL	PEPTIDE1{G.L.Q.A.R.L.Q.R.L.L.Q.A.S.G.N.H.A.A.G.I.L.T.M}$$$$	NULL	CHEMBL411589	BOTH	Protein	0	0
16772	NULL	PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.A.P.S.G.N.H.A.A.G.I.L.T.M}$$$$	NULL	CHEMBL204810	BOTH	Protein	0	0
16773	NULL	PEPTIDE1{G.L.Q.G.R.L.Q.R.L.L.P.A.S.G.N.H.A.A.G.I.L.T.M}$$$$	NULL	CHEMBL438276	BOTH	Protein	0	0
